center_id,center_name,owner_name,center_type,phone,alt_phone,email,whatsapp,address,city,state,pincode,map_url,registration_number,gst_number,services,home_sample,operational_hours,account_holder_name,bank_name,account_number,ifsc_code,upi_id,profile_image_url,password
dc0027,Silva-Campbell Diagnostics,Melissa Robinson,Multi-specialty,6015924643,3729182449,dc0027@example.com,0707215837,593 Jackson Ridges,Morseborough,Louisiana,04034,https://maps.google.com/?q=East Cody,458770,520139,"CT Scan, Mammography",No,10:00 - 19:00,Robert Valenzuela,Moss Inc,837942244,IFSC0001234,jamesbaker@upi,/uploads/profiles/center27.jpg,568386
dc0028,Mccoy LLC Diagnostics,Penny Blackburn,Radiology,7017654522,8734701173,dc0028@example.com,1050870219,853 Richard Points Suite 526,Port Josephmouth,Virginia,14674,https://maps.google.com/?q=West Charles,674589,922482,"ECG, Ultrasound",No,9:00 - 19:00,Travis Delacruz,Brown-Smith,3256181391,IFSC0001234,timothysmith@upi,/uploads/profiles/center28.jpg,899649
dc0029,Vasquez PLC Diagnostics,Mark Morton,Imaging,7942473796,3901160571,dc0029@example.com,6440381050,31125 Chad Road Suite 005,South Carolmouth,Massachusetts,89896,https://maps.google.com/?q=Reevesstad,693761,893088,"Blood Test, X-Ray, MRI",Yes,7:00 - 17:00,Tyler Moses,Gray-Trujillo,6605364426,IFSC0001234,mcconnellpamela@upi,/uploads/profiles/center29.jpg,882315
dc0030,Garcia Ltd Diagnostics,Laura Moran,Imaging,0182651752,9054247547,dc0030@example.com,0228735236,54065 Jessica Keys Suite 204,New Karenmouth,Nebraska,09409,https://maps.google.com/?q=Bakerberg,413264,5322,"CT Scan, Mammography",No,10:00 - 21:00,Edward Sosa,Camacho-Moreno,1501033913,IFSC0001234,melvinrichardson@upi,/uploads/profiles/center30.jpg,737715
dc0031,Martin-Hamilton Diagnostics,Melinda Kelly,Radiology,0778248200,7220418555,dc0031@example.com,7402561072,64418 Stewart Roads,South Jayton,Utah,36720,https://maps.google.com/?q=North Daniel,51893,828565,"ECG, Ultrasound",No,8:00 - 18:00,Tony Melton,Carr PLC,3411724593,IFSC0001234,qmartin@upi,/uploads/profiles/center31.jpg,461892
dc0032,"Woodard, Todd and Miller Diagnostics",Justin Kelly,Cardiology Lab,7447408852,2537731271,dc0032@example.com,9534809020,111 Chloe Valleys Suite 739,Johnland,Georgia,43603,https://maps.google.com/?q=Christopherstad,790878,11545,"Blood Test, X-Ray, MRI",No,7:00 - 18:00,Danielle Perry,Zhang Ltd,8617324386,IFSC0001234,reyesshane@upi,/uploads/profiles/center32.jpg,967967
dc0033,Lee Group Diagnostics,Michael Decker,Pathology,3949937910,7132395986,dc0033@example.com,2782301014,741 Phillips Key Apt. 547,Jamieton,Vermont,87109,https://maps.google.com/?q=Brownmouth,331654,289323,"CT Scan, Mammography",Yes,8:00 - 17:00,Darren Thomas,Mullen-Davis,5822162309,IFSC0001234,smithjeremy@upi,/uploads/profiles/center33.jpg,218705
dc0034,"Blackwell, Martin and Mcclure Diagnostics",Lisa Tucker,Imaging,3132849376,3982654279,dc0034@example.com,9562246366,618 Dale View Suite 838,New Erikachester,South Dakota,83238,https://maps.google.com/?q=Moorebury,771072,495926,"ECG, Ultrasound",No,7:00 - 19:00,Ashley Braun,Moore LLC,1131808213,IFSC0001234,anthony36@upi,/uploads/profiles/center34.jpg,549944
dc0035,Salazar and Sons Diagnostics,Francis Bailey,Imaging,4814042159,9411847717,dc0035@example.com,5788706269,0166 Nixon Pine,Jimenezstad,Florida,61918,https://maps.google.com/?q=Lake Donaldborough,421531,938470,"CT Scan, Mammography",Yes,7:00 - 19:00,Sharon Lewis,Brown-Allen,5999780303,IFSC0001234,martinphilip@upi,/uploads/profiles/center35.jpg,441275
dc0036,"Garcia, West and Hoover Diagnostics",Caleb Hernandez,Multi-specialty,6369694060,1735812948,dc0036@example.com,4646718986,133 Wilson Courts Suite 679,Ronaldville,Hawaii,80603,https://maps.google.com/?q=Elizabethton,360840,979020,"Blood Test, X-Ray, MRI",No,7:00 - 18:00,Dr. James Villa DDS,Bennett Inc,1546556902,IFSC0001234,nicole13@upi,/uploads/profiles/center36.jpg,456314
dc0037,"Paul, Moore and Smith Diagnostics",Kristina Pruitt,Pathology,7784672864,1466074592,dc0037@example.com,4585181236,442 Sarah Greens,East Ashley,Utah,44985,https://maps.google.com/?q=North Leahshire,691422,482907,"CT Scan, Mammography",No,7:00 - 18:00,Laura Johnson,Watts-Long,391167800,IFSC0001234,cynthia12@upi,/uploads/profiles/center37.jpg,615290
dc0038,"Haney, Rojas and Smith Diagnostics",Angela Palmer,Multi-specialty,8720036560,3011352241,dc0038@example.com,6403687162,80489 Dickerson Roads Suite 692,Jesusmouth,Arkansas,90485,https://maps.google.com/?q=East Jodi,932981,259256,"Blood Test, X-Ray, MRI",Yes,9:00 - 20:00,Alexis Aguirre,Williams-Larson,8499181809,IFSC0001234,floresgeorge@upi,/uploads/profiles/center38.jpg,235129
dc0039,Lamb PLC Diagnostics,Debbie Morgan,Pathology,2847060868,4523749636,dc0039@example.com,4915269494,843 Ortiz Bypass,Cartermouth,Colorado,57841,https://maps.google.com/?q=New Briannaborough,383540,380256,"CT Scan, Mammography",Yes,8:00 - 22:00,Jason Raymond,"Martin, Lee and Smith",7492571496,IFSC0001234,kellytucker@upi,/uploads/profiles/center39.jpg,335235
dc0040,Simmons-Mccarthy Diagnostics,Chase Young,Multi-specialty,3692052313,3223747192,dc0040@example.com,2670860429,241 Moreno Cove,North Derek,Alaska,41271,https://maps.google.com/?q=North Suzannefort,883591,773313,"ECG, Ultrasound",Yes,9:00 - 21:00,Jennifer Rodriguez,Gallagher-Aguilar,1569787669,IFSC0001234,anthony48@upi,/uploads/profiles/center40.jpg,831393
dc0041,Gallagher-Snyder Diagnostics,Bryan Ball,Pathology,5522589673,0564158943,dc0041@example.com,3635380995,7448 Stephanie Circles Suite 884,Virginiatown,Kansas,59490,https://maps.google.com/?q=West Jose,261967,751303,"CT Scan, Mammography",Yes,7:00 - 21:00,Daniel Prince,Diaz-Hines,1683880907,IFSC0001234,kristi88@upi,/uploads/profiles/center41.jpg,764019
dc0042,Webster Ltd Diagnostics,James Golden,Pathology,8695476656,4334129425,dc0042@example.com,1312004130,9869 Sophia Orchard,Connormouth,Rhode Island,99348,https://maps.google.com/?q=Baldwinshire,747576,948874,"ECG, Ultrasound",No,7:00 - 18:00,William Brady,Smith-Garcia,3163806655,IFSC0001234,stephensjessica@upi,/uploads/profiles/center42.jpg,168626
dc0043,"Lyons, Gibson and Brock Diagnostics",Heather Ortiz,Pathology,2971066458,5096021237,dc0043@example.com,2417628765,081 Thompson River,New Logan,Pennsylvania,74345,https://maps.google.com/?q=South Jaime,228969,723099,"ECG, Ultrasound",Yes,9:00 - 21:00,Anthony Watts,Price-Rose,3140320458,IFSC0001234,martinezalicia@upi,/uploads/profiles/center43.jpg,628327
dc0044,"Nichols, Morgan and Burke Diagnostics",Julie Jones,Cardiology Lab,7567633690,6660275571,dc0044@example.com,4770046100,18201 Simpson Highway,Larryside,Wyoming,38394,https://maps.google.com/?q=Port Tommy,766619,317052,"ECG, Ultrasound",Yes,10:00 - 19:00,Lisa Davis,Jackson PLC,5671426850,IFSC0001234,danielwhite@upi,/uploads/profiles/center44.jpg,206193
dc0045,"Allison, Martin and Robles Diagnostics",Mary Macias,Pathology,2450798731,7708221955,dc0045@example.com,4990550031,05676 Myers Lock,Samanthachester,Arkansas,59963,https://maps.google.com/?q=Lewishaven,89162,895831,"CT Scan, Mammography",No,8:00 - 21:00,Charles Beck,Nelson LLC,5788376248,IFSC0001234,kristinwilson@upi,/uploads/profiles/center45.jpg,572101
dc0046,Carlson-Holden Diagnostics,Megan Wilson DDS,Pathology,4678069096,7347322773,dc0046@example.com,1333077075,101 Cabrera Place Apt. 534,North Judithhaven,New York,65284,https://maps.google.com/?q=Lake Michelle,911344,367330,"CT Scan, Mammography",No,8:00 - 20:00,Daniel Jenkins,Goodwin and Sons,3898802610,IFSC0001234,shernandez@upi,/uploads/profiles/center46.jpg,478372
dc0047,"Sanchez, Santiago and Howell Diagnostics",Shelia Manning,Imaging,5870769614,7080661753,dc0047@example.com,2110711037,78319 Diane Ville,Caseyview,Vermont,57814,https://maps.google.com/?q=Gordonstad,700908,179394,"ECG, Ultrasound",Yes,7:00 - 20:00,Edwin May,"Mueller, Miles and Gardner",7888240927,IFSC0001234,angela91@upi,/uploads/profiles/center47.jpg,658703
dc0048,"Butler, Nicholson and Snyder Diagnostics",Joel Garner,Radiology,4037493094,5294226729,dc0048@example.com,3628822517,203 Tina Manors Apt. 576,Lake Jamieshire,California,46935,https://maps.google.com/?q=Thomaston,411379,438103,"Blood Test, X-Ray, MRI",Yes,9:00 - 20:00,David Smith,"Ramos, Young and Davis",504089815,IFSC0001234,fritzdouglas@upi,/uploads/profiles/center48.jpg,613724
dc0049,Jones-Sanders Diagnostics,Garrett James,Imaging,7762004458,8598400265,dc0049@example.com,0730609329,59182 Butler Trail Apt. 894,Tracyshire,Florida,80771,https://maps.google.com/?q=Bryanburgh,707407,26623,"ECG, Ultrasound",Yes,9:00 - 17:00,Robert Odonnell,"Jensen, Stewart and Jones",3124009525,IFSC0001234,chapmanmegan@upi,/uploads/profiles/center49.jpg,603930
dc0050,Reed and Sons Diagnostics,Timothy Richardson,Cardiology Lab,8741123901,3071511892,dc0050@example.com,0813489872,854 Damon Rue,New Jon,Michigan,85759,https://maps.google.com/?q=South Heather,163047,556943,"Blood Test, X-Ray, MRI",Yes,10:00 - 18:00,Mandy Schultz,Long-Gutierrez,8426292140,IFSC0001234,jennifer16@upi,/uploads/profiles/center50.jpg,50207
dc0051,Parks LLC Diagnostics,Mitchell Sims,Cardiology Lab,1591044939,0627251323,dc0051@example.com,3850142637,449 Brown Falls,Port Virginiashire,Oklahoma,14214,https://maps.google.com/?q=Jamesmouth,310827,654065,"ECG, Ultrasound",Yes,10:00 - 17:00,Martha Hensley,Williamson Inc,5898149884,IFSC0001234,jamesbates@upi,/uploads/profiles/center51.jpg,351220
dc0052,"Everett, Rios and Lee Diagnostics",Laura Mitchell MD,Radiology,0425288328,2126258647,dc0052@example.com,5404452557,955 Goodman Points Suite 308,Alvarezchester,Washington,69098,https://maps.google.com/?q=Stephenchester,433831,180295,"ECG, Ultrasound",No,8:00 - 20:00,Deanna Dodson,"Wolf, Bryant and Freeman",9079735973,IFSC0001234,herbertyoung@upi,/uploads/profiles/center52.jpg,231286
dc0053,"Wagner, Carter and Rollins Diagnostics",Mary Perez,Cardiology Lab,5551753007,4653310546,dc0053@example.com,6647552821,265 Singleton Green Apt. 158,Sharonberg,Nebraska,78552,https://maps.google.com/?q=Anaburgh,39155,175264,"Blood Test, X-Ray, MRI",No,8:00 - 21:00,Kevin Owen,Roberts-Wyatt,1025352418,IFSC0001234,michael45@upi,/uploads/profiles/center53.jpg,928043
dc0054,Ward-Sheppard Diagnostics,Kimberly Brown,Cardiology Lab,9460222123,1147216066,dc0054@example.com,0294179558,451 John Meadows,Matthewmouth,Delaware,50212,https://maps.google.com/?q=West Markfurt,22383,492435,"CT Scan, Mammography",Yes,10:00 - 21:00,Jessica Whitney,Miranda-Smith,4021217494,IFSC0001234,maldonadotanya@upi,/uploads/profiles/center54.jpg,674107
dc0055,Robertson-Alvarado Diagnostics,Alison Gibson,Radiology,6141580027,8226648896,dc0055@example.com,1606105978,151 Lowery Station,Donnatown,Louisiana,96702,https://maps.google.com/?q=South Veronicamouth,969191,171303,"Blood Test, X-Ray, MRI",No,9:00 - 19:00,Joshua Nunez,Ray-Wheeler,687076988,IFSC0001234,antonio49@upi,/uploads/profiles/center55.jpg,234177
dc0056,Benson-Moore Diagnostics,Laura Lucas,Radiology,8826620195,0161416672,dc0056@example.com,3838571347,703 Snyder Road,Reginaldtown,Illinois,07799,https://maps.google.com/?q=Lake Jennifer,565538,937078,"ECG, Ultrasound",Yes,7:00 - 19:00,Angela Moran,Burgess PLC,6521080347,IFSC0001234,sherrijackson@upi,/uploads/profiles/center56.jpg,474726
dc0057,Matthews-Johnson Diagnostics,Shannon Rodriguez,Radiology,1220123981,1227839376,dc0057@example.com,1907130137,3831 Flores Trail Apt. 551,North Rachel,Florida,88141,https://maps.google.com/?q=Rosalesfurt,614165,201296,"CT Scan, Mammography",Yes,10:00 - 17:00,Kyle Richards,Warren-Lopez,9596176260,IFSC0001234,annsteele@upi,/uploads/profiles/center57.jpg,847816
dc0058,Wolfe-Decker Diagnostics,Cody Wilson,Multi-specialty,4999483787,5701772896,dc0058@example.com,1987818009,29708 Steven Ferry,Brianfurt,Utah,62672,https://maps.google.com/?q=South Darrenchester,865581,415304,"CT Scan, Mammography",Yes,8:00 - 18:00,Catherine Mueller,"Barnes, Tucker and Washington",5463138921,IFSC0001234,melissa35@upi,/uploads/profiles/center58.jpg,186736
dc0059,Ortiz-Rodriguez Diagnostics,Willie Hall,Imaging,4346977329,9995555860,dc0059@example.com,4610275172,34886 Daniel Skyway,Grantfurt,Illinois,83899,https://maps.google.com/?q=Lake Jacob,391876,494654,"CT Scan, Mammography",Yes,10:00 - 22:00,Christopher Cox,Garcia-Schroeder,7860829992,IFSC0001234,aaron12@upi,/uploads/profiles/center59.jpg,202606
dc0060,"James, Jordan and Willis Diagnostics",Carlos Hammond,Multi-specialty,9464701350,6170312800,dc0060@example.com,9421204408,12405 Walker Ridge,West Maryburgh,Vermont,78537,https://maps.google.com/?q=Georgefurt,79510,587710,"CT Scan, Mammography",Yes,8:00 - 21:00,Jessica Robbins,Martinez-Williams,8747606336,IFSC0001234,hvance@upi,/uploads/profiles/center60.jpg,200885
dc0061,Cooper-Colon Diagnostics,Amber Porter,Cardiology Lab,7650101229,0787317136,dc0061@example.com,2227756168,280 Shah Land,Petertown,California,04106,https://maps.google.com/?q=West Michellehaven,197665,411315,"Blood Test, X-Ray, MRI",No,10:00 - 17:00,Julian Smith,Hansen Inc,3559174661,IFSC0001234,vglover@upi,/uploads/profiles/center61.jpg,406359
dc0062,"Jackson, Bryant and Becker Diagnostics",Heather Rodriguez,Radiology,7904397038,1985861430,dc0062@example.com,3810433242,167 David Pike Suite 364,East Sandy,Delaware,18692,https://maps.google.com/?q=Corymouth,616950,590162,"CT Scan, Mammography",No,10:00 - 22:00,Jennifer Jennings,"Foster, Reyes and Taylor",6836038956,IFSC0001234,shawnwilson@upi,/uploads/profiles/center62.jpg,480760
dc0063,"Rodriguez, Fletcher and Hartman Diagnostics",Tammy Vasquez,Cardiology Lab,9556424288,5451319133,dc0063@example.com,0654818178,837 Perkins Lane Apt. 682,East Jodi,Connecticut,23224,https://maps.google.com/?q=West Paigeton,601281,58033,"Blood Test, X-Ray, MRI",No,9:00 - 22:00,David Kelly,"Knight, Collins and Sellers",3031372446,IFSC0001234,bhartman@upi,/uploads/profiles/center63.jpg,689380
dc0064,Richardson-Jackson Diagnostics,William Jones,Imaging,9194657145,1053547961,dc0064@example.com,6104403283,7258 Christian Avenue Apt. 352,Thomasland,Wisconsin,36630,https://maps.google.com/?q=East Shawn,146820,177995,"Blood Test, X-Ray, MRI",Yes,8:00 - 18:00,Raymond Murphy,Clark Inc,6364421934,IFSC0001234,morrisonsteven@upi,/uploads/profiles/center64.jpg,747128
dc0065,York and Sons Diagnostics,Gregory Kramer,Imaging,9353640761,3116902509,dc0065@example.com,4753328539,1675 Hoffman Flats,West Davidbury,Tennessee,82808,https://maps.google.com/?q=Port Patrickhaven,71275,169940,"CT Scan, Mammography",Yes,9:00 - 19:00,Gloria Gallegos,"Smith, Reynolds and Nelson",242680000,IFSC0001234,shawnnguyen@upi,/uploads/profiles/center65.jpg,583889
dc0066,"Duke, Richardson and Lewis Diagnostics",Barbara Cardenas MD,Multi-specialty,3936133600,8941436162,dc0066@example.com,9099674834,54596 Lauren Crossing Suite 110,Dominguezborough,Missouri,19660,https://maps.google.com/?q=Paceville,105095,802793,"Blood Test, X-Ray, MRI",Yes,9:00 - 18:00,Elizabeth Morrison,Herrera PLC,3795099120,IFSC0001234,stanley71@upi,/uploads/profiles/center66.jpg,403369
dc0067,Pacheco LLC Diagnostics,Jeffrey Cooper,Pathology,8351148480,8750207033,dc0067@example.com,9495968054,81728 Edward Extension Suite 515,Orozcoton,Wyoming,35263,https://maps.google.com/?q=Jeremyland,717773,803046,"Blood Test, X-Ray, MRI",No,9:00 - 21:00,Darius Hall,Miller-Jacobs,1549461067,IFSC0001234,jennifer39@upi,/uploads/profiles/center67.jpg,794415
dc0068,Daugherty PLC Diagnostics,Kenneth Taylor,Radiology,1105731893,7907396397,dc0068@example.com,1783704893,63326 Jason Crossing Apt. 954,East Kimberlystad,Colorado,97484,https://maps.google.com/?q=Wendyborough,671344,933702,"ECG, Ultrasound",Yes,8:00 - 17:00,Teresa Brown,Kidd-Barnes,1612774633,IFSC0001234,rpugh@upi,/uploads/profiles/center68.jpg,807537
